title,id,link,date
inventory analyst,sj_d72c4cf42121ca22,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnxfxssoujI3GvYsxvmNCzxzm6VnPtwq4vmbotio0JvQP4qXO3kiNsl1yUmVNF84MzBzmk8-uNcalZeVGMR2tlbw0j0ghDB32zhGcWEZiFsh6Zhjvcky-uhasSq90-Q5tQuwoeDbw8SltNynq_LNJvZUMRCpbvjFC48w4dMABSo4ebojJMmZ--dHZHBiOPE135_T6Xa7ud4X-cfbHmQ6gOKJv1AWhNFU4c5f5OSZMb91QEb925KxbCkocbzbpn9dQx3uhvO9W8KGpcJhKtOfLETuEJsfe-UuHiydeNE0qvY3PL0wvF7dhZ_XawpnVmj6C9DhBC5cnxriFAefUXHrWNQmj-WT9vVpoL95aOJdIc7s7y1ypjJI3yNWLyvdOVs6umuVRUmwN_uqs6ePa9Dc4h8SHkPM_GPMXsZLziJ3wN7iIsmpT6cHqk2BA4lWfDKw0S5d6TckE8Xzv-8UyHiDSQaOsejKEjKLi1uYZCRQAnHUSP5nZLrZdqQ18ZggJQSwBOJNIXuo3CsOYtW0UYGcMiBfWpdPuCYCdmtzEAcKghJZr_S1MYHgV56H-H6wpXyZ44S6SmdX4gn64qpFPnTP6sWpx5E6Pd6TpjCYvf9GoRuaeJDPvU4xDHpCQpEE2ih4frPZwuYx3gDPR5XMbklqnoNQaAOZZ4X18oOwIhhmHa4kVpQor0_f9mKTUHw5oxri0AkpEu-qcHoQ==&xkcb=SoDk6_M3G51RjlQHEx0LbzkdCdPP&p=0&fvj=0&vjs=3,Just posted
defect control engineer with strong data analysis and programing skills (sql/python/matlab).,job_9d518bcdd2dc8ca0,https://ie.indeed.com/rc/clk?jk=9d518bcdd2dc8ca0&bb=WFqqXi9ONJgXrTWGjxsH4_o-jPUX29-mPu0LCwUqhMc0TNGLxpap4cREZ8pq4yGwglpravmc3kDvRNT5iTj29WA89UGPwrWw-ZQBSBmS-ss%3D&xkcb=SoCk67M3G51RjlQHEx0KbzkdCdPP&fccid=936367796261bd6e&vjs=3,Just posted
business analyst,job_ceec31052fe11990,https://ie.indeed.com/rc/clk?jk=ceec31052fe11990&bb=WFqqXi9ONJgXrTWGjxsH496HW7j0re_h-QKIb7x8iZZdBNqEaZNzRBKdn1-CRIfQRhQ_yBRXRHPDAqtLEoe1noNuGnD8RpZE24_O3Qk5vt4%3D&xkcb=SoA567M3G51RjlQHEx0JbzkdCdPP&fccid=9b191fb564a58e36&vjs=3,Today
commercial finance analyst - maternity cover,job_f669c4afb3d36f52,https://ie.indeed.com/rc/clk?jk=f669c4afb3d36f52&bb=WFqqXi9ONJgXrTWGjxsH476zBDP9kPsCfZVKmBSYAPqz1GjLeWaGUO6bHu9lOcEmKJ8bki87tzTWzV0TDb4ex9Gs0QbgiWjwckIvb-6z3Ms%3D&xkcb=SoCN67M3G51RjlQHEx0IbzkdCdPP&fccid=ab4338decb32714b&vjs=3,Today
principal data analyst,job_ff2383407f16076a,https://ie.indeed.com/rc/clk?jk=ff2383407f16076a&bb=WFqqXi9ONJgXrTWGjxsH4y4b1SMyYOqkc6srS3qGnQVd00YN8jG7cAUmndRRVFrG_GcCPx6VrXcXJXigi6tmI6K4YyPLl-ZPePXmIDJI81Q%3D&xkcb=SoAD67M3G51RjlQHEx0PbzkdCdPP&fccid=3c38342724c75954&vjs=3,Posted 1 day ago
business analyst - transport (hybrid),job_e5c3d77f492f48d2,https://ie.indeed.com/rc/clk?jk=e5c3d77f492f48d2&bb=WFqqXi9ONJgXrTWGjxsH44gx6SbkqoJH_nQ4MAKOOK7TW3f6ZYkV9lTpg1H4N-VY_rW4EA67D9MXZAB9fBvyA4D4D-BvKIJHLmu6jQ8xFNA%3D&xkcb=SoC367M3G51RjlQHEx0ObzkdCdPP&fccid=ddf112e6635311aa&vjs=3,Posted 1 day ago
technical business analyst,job_65db73a7f925bab2,https://ie.indeed.com/rc/clk?jk=65db73a7f925bab2&bb=WFqqXi9ONJgXrTWGjxsH47SJjV3ohFWQO1GWkNJIQKt-qd06TY4IMFSfZxpX4ycWSf4IYhIhvt_QlWW9q4KJtHmxapr6AH3rCCWrExb50YU%3D&xkcb=SoAq67M3G51RjlQHEx0NbzkdCdPP&fccid=1392500f835bba92&vjs=3,Posted 1 day ago
procurement senior analyst,job_705bb237d1c02bf1,https://ie.indeed.com/rc/clk?jk=705bb237d1c02bf1&bb=WFqqXi9ONJgXrTWGjxsH46S3l9L6FiDKhbkJxMPdgoSqjcxXXhh5fbFVmKdER4-iDJp90fnGeS2uAXDKphNy0ot8DYkKjmUMlYhV169GnSk%3D&xkcb=SoCe67M3G51RjlQHEx0MbzkdCdPP&fccid=6c527578251bc5e1&vjs=3,Posted 1 day ago
data analytics and ai - senior manager - data architect,job_674b546113ddd3c6,https://ie.indeed.com/rc/clk?jk=674b546113ddd3c6&bb=WFqqXi9ONJgXrTWGjxsH48TDQt4aYIy0ijKnENiX7F3h4TvHbBQu0ICR68ogQWHH3LhofEP50aFsqdpakr54qAsAhpsCKbRl7bX2qEtcyl8%3D&xkcb=SoB367M3G51RjlQHEx0DbzkdCdPP&fccid=1544766d4c2915b0&vjs=3,Posted 1 day ago
procurement senior analyst,job_62f2af7633c5f7fd,https://ie.indeed.com/rc/clk?jk=62f2af7633c5f7fd&bb=WFqqXi9ONJgXrTWGjxsH4-6po7DBQw6ar_YrcYKGoOWBQfkLzfK4LuE7cvbLlAVJXtu5PCH9o4SWaWQ49ubJjSxjF1PtSuLzuH5vkWhiNpg%3D&xkcb=SoDD67M3G51RjlQHEx0CbzkdCdPP&fccid=6c527578251bc5e1&vjs=3,Posted 1 day ago
ai product owner analyst,job_95eee810e315f464,https://ie.indeed.com/rc/clk?jk=95eee810e315f464&bb=WFqqXi9ONJgXrTWGjxsH46XtSk4HjKlNLfws7wupYkG55k-5tcbP82bBRN3Jfp95AjorLR8O1CSuMgK4zqmy30W2BRAFVgDjJkDVhCZQRxM%3D&xkcb=SoBe67M3G51RjlQHEx0BbzkdCdPP&fccid=1ea0475711674f3b&vjs=3,Posted 2 days ago
fs technology consulting - data and analytics - senior manager - dublin,job_93459df6428081db,https://ie.indeed.com/rc/clk?jk=93459df6428081db&bb=WFqqXi9ONJgXrTWGjxsH44LIGPc1NbEuP1KzCRMp9kejlFSTwPYOJFhEdlEfgiNhXVjaXiZefJ-CmGFV7V4yRHqzvcsrMRQXlHi7suOFIzc%3D&xkcb=SoDq67M3G51RjlQHEx0AbzkdCdPP&fccid=1544766d4c2915b0&vjs=3,Posted 2 days ago
digital marketing analyst,job_0974f998c37f8982,https://ie.indeed.com/rc/clk?jk=0974f998c37f8982&bb=WFqqXi9ONJgXrTWGjxsH48N2zEvLgISIqsWuSpSjv6HKXLO0uNrO_v-QlHBJu9hEqu69-StL2lgzjIquiKqwrQDP5S3J3kDD1JOeUhfDvis%3D&xkcb=SoBk67M3G51RjlQHEx0HbzkdCdPP&fccid=1ea0475711674f3b&vjs=3,Posted 4 days ago
senior business analyst,job_42761caf1ee96fe2,https://ie.indeed.com/rc/clk?jk=42761caf1ee96fe2&bb=WFqqXi9ONJgXrTWGjxsH4xZRDnxb3N6_antS_3Z4YxvjPEdr8dEyVTgXOr2pkkYw2VETE9dstQTY9Llhi9ew0brJS9FFCFPKesMqhLgOhaI%3D&xkcb=SoDQ67M3G51RjlQHEx0GbzkdCdPP&fccid=8f5cb52d4dd4f2ad&vjs=3,Posted 4 days ago
fs technology consulting - data and analytics - data architect - manager / senior manager,job_702c38c83206f342,https://ie.indeed.com/rc/clk?jk=702c38c83206f342&bb=WFqqXi9ONJgXrTWGjxsH42FeKVEcBId-wfEzr3WYLaH2h_89ztxA6Y-xcuB0x_juUiWP8FgbOD92EKbiTvE3ArTQ7hno5L0PctCxiAo9eI4%3D&xkcb=SoBN67M3G51RjlQHEx0FbzkdCdPP&fccid=1544766d4c2915b0&vjs=3,Posted 2 days ago
senior business analyst,job_3b46dd920185fadb,https://ie.indeed.com/rc/clk?jk=3b46dd920185fadb&bb=_b56esHPg7382M-1jJoN4hn-Oh08TiGiZg88T2b3xqgKispucbOzJNbav5qYzkSAKt8BbEPwhdfzrGDCymiLf2WpcDCITNC6QY25i6XuJ3E%3D&xkcb=SoBs67M3G51QcdWHG50LbzkdCdPP&fccid=8f5cb52d4dd4f2ad&vjs=3,Posted 4 days ago
senior business analyst,job_840379f80b2a425c,https://ie.indeed.com/rc/clk?jk=840379f80b2a425c&bb=_b56esHPg7382M-1jJoN4uR0sAq6oFzr--fjNeHa342K8ZHIl1I5vbzIROLpLSmoR7tRC7Gq4cLLbgYScx8v4e0Ht4yn0KNc6Ngjrpuls6g%3D&xkcb=SoDY67M3G51QcdWHG50KbzkdCdPP&fccid=8f5cb52d4dd4f2ad&vjs=3,Posted 4 days ago
indirect procurement analyst,job_175f3130a02b66f0,https://ie.indeed.com/rc/clk?jk=175f3130a02b66f0&bb=_b56esHPg7382M-1jJoN4t8A5LhVQCAcb9LVvwTdWwsKcAb3ukqfzjoUdKlDKj3yNN6T6vjB7GwSK93_fL04HjpliERVGHKO7l3hVjIGbOc%3D&xkcb=SoBF67M3G51QcdWHG50JbzkdCdPP&fccid=893f9f3cd9fe4472&vjs=3,
,job_a118490b5105b449,https://ie.indeed.com/rc/clk?jk=a118490b5105b449&bb=_b56esHPg7382M-1jJoN4jjWgqFMaE8SFeClcnIE-wZirKITsBki-UjV5z6vm4URKSnF-V_ZK9ttweZ5MPyttzIVy0vSQCGDNnrRIdGf2yM%3D&xkcb=SoDx67M3G51QcdWHG50IbzkdCdPP&fccid=e0cdf70e404c3f96&vjs=3,
