title,id,link,date,job_description
data analyst,job_3ffe8294304602bd,https://ie.indeed.com/rc/clk?jk=3ffe8294304602bd&bb=Lda2kDTxpK_Bw6ZiyREAuz9Bque7xHJNVLFtjAnziN5Rikp1PLpDzD63vAnfHjd2GGsoOHslDLTNc1jHq4XAFOv-nHBFjj1w299F_1-gEsA%3D&xkcb=SoC367M3FTTCt1WHMZ0LbzkdCdPP&fccid=e74773ca4b4eccf9&vjs=3,Just posted,"Data Analyst
Our Clients, an environmental firm, are looking to recruit a Data Analyst for an initial 6 month contract to join their Data Team.
The Role:
Support the development of ad-hoc reports in line to meet business operational requirements
Development and scheduling of operational reports to support the business
Analysis of data to develop insights that can be utilized to support the scheme
Refinement of existing data repositories to identify issue and enhance data quality
Manual manipulation of data as required to correct data issues
Development of feeds or extracts into other systems to support the needs of the website or other portals.
Support the onboarding of suppliers to support the scheme
Produce quality documentation to support onward communication to key stakeholders
Manage communication with internal and external stakeholders
Take ownership for specific issues managing them to resolution seeking support where required from across the team
Proactive out bound communication to stakeholders to address queries or drive compliance
Development tracking and management of key metrics and KPIs for the team

The Person:
Experience of operating as a data analyst, developing reports, data analysis and insights, and driving data quality
Proficient in the manipulation and presentation of data in Excel and other MS Office tools
Experience of reporting solutions and the development of reports within these solution.
Strong literacy skills and the ability to create documents that capture and present key messages for onward consumption.
Good task and time management with the ability to co-ordinate the activities and priorities across the team
Strong telephony skills with the ability the engage effectively with stakeholders over the phone
Good analytical and problem-solving skills, taking ownership and driving issue to resolution
Experience of working in a high paced environment with multiple competing priorities
Good interpersonal skills with the ability to integrate quickly and operate effectively within a team
Batchelors degree in a Analytics
Experience of reports in Power BI.
Experience of operating in an Azure cloud environment and Microsoft 365 an advantage

For more information, please call Keith on 01 912 1892 or email keith@executiveedge.ie"
data analyst,job_84870afff879430a,https://ie.indeed.com/rc/clk?jk=84870afff879430a&bb=Lda2kDTxpK_Bw6ZiyREAu1JmhJayD93Zna4KCNZPIeMyOckg4Cld4HDuA1FJ7Bl4ftI0c8POrW2ax59bVi2U8_kCNm04f0fL7UBE3IYXDWg%3D&xkcb=SoAD67M3FTTCt1WHMZ0KbzkdCdPP&fccid=855f48b961808012&vjs=3,Today,"35k Salary
6 Month Contract
Experience Required.



Your Role:

Ireland will soon be introducing a national Deposit Return Scheme. Working under licence from the Irish Government, our client has been established to build the technology solutions and capabilities that will enable the country to achieve our EU targets for the recycling of drinks containers, reducing waste and improving the environment.

To support and enable this implementation an exciting opportunity has been created for a Data Analyst. This role will support the individual project workstream in driving the objectives required to enable the scheme. This is a cross functional role requiring the individual to work collaboratively across the business to achieve the required outcomes.

Your Team:
The Data Analyst will report to the workstream lead and work within the Information Technology and Security Governance team.

Your Responsibilities:

Functional Strategy & Delivery
Support the development of ad-hoc reports in line to meet business operational requirements
Development and scheduling of operational reports to support the business
Analysis of data to develop insights that can be utilized to support the scheme
Refinement of existing data repositories to identify issue and enhance data quality
Manual manipulation of data as required to correct data issues
Development of feeds or extracts into other systems to support the needs of the website or other portals.
Support the onboarding of Vending Machine suppliers (RVMs) to support the scheme
Produce quality documentation to support onward communication to key stakeholders
Manage communication with internal and external stakeholders
Take ownership for specific issues managing them to resolution seeking support where required from across the team
Proactive out bound communication to stakeholders to address queries or drive compliance
Development tracking and management of key metrics and KPIs for the team
Requirements:
Essential
Experience of operating as a data analyst in other organizations, developing reports, data analysis and insights, and driving data quality, preferably 2 years of experience.
Proficient in the manipulation and presentation of data in Excel and other MS Office tools
Experience of reporting solutions and the development of reports within these solution.
Strong literacy skills and the ability to create documents that capture and present key messages for onward consumption.
Good task and time management with the ability to co-ordinate the activities and priorities across the team
Strong telephony skills with the ability the engage effectively with stakeholders over the phone
Good analytical and problem solving skills, taking ownership and driving issue to resolution
Experience of working in a high paced environment with multiple competing priorities
Good interpersonal skills with the ability to integrate quickly and operate effectively within a team
Desired
Batchelors degree in a related discipline
Experience in the development of reports in Power BI.
Experience of operating in an Azure cloud environment and Microsoft 365
Experience in process definition in the context of quality management systems
If you are living in Ireland and hold a VALID WORK PERMIT, we would love to hear from you, if however, you do not hold a valid work permit unfortunately we will not be in a position to assist you with your job search.
Celtic Careers is proud to be an Equal Opportunity Employer.

By submitting your CV or personal details, you are providing Celtic Careers consent to process your personal data. In order to service you as a candidate this is required. Celtic Careers may contact you from time to time regarding further opportunities. Celtic Careers will not share your data with third parties without your prior consent. You can withdraw your consent at any time by emailing us at the email address above. For further information please see our Privacy Statement on our website."
senior data analyst,job_8f53369feaebed31,https://ie.indeed.com/rc/clk?jk=8f53369feaebed31&bb=Lda2kDTxpK_Bw6ZiyREAu3xC_DA1VBrZj2Uf8HVnxTqz83_8yINx_piYXmSFISd2ckYezfcRMM9QbqtItsUDY8n0YwXGVtnBqkVvMymYrCA%3D&xkcb=SoCe67M3FTTCt1WHMZ0JbzkdCdPP&fccid=3c38342724c75954&vjs=3,Today,"Optum, the fast-growing part of UnitedHealth Group, is a leading information and technology-enabled health services business. Our teams are dedicated to modernising the health care system and improving the lives of people and communities.
Serving virtually every dimension of the health system, we work with a diverse set of clients across 150 countries – from those who diagnose and treat patients to those who pay for care, deliver health services, and those who supply the cures. Optum maintains operations across North America, South America, Europe, Asia Pacific and the Middle East. Our innovative partnerships provide technology and tools that enable unprecedented collaboration and efficiency. As a result, we can tap into valuable health care data to uncover insights and develop strategies for better care at lower costs.

About the Role:
As a Fortune 5 business, we’re one of the world’s leading healthcare companies. There are no limits here on the resources you’ll have or the challenges you’ll encounter.
We have been supporting global healthcare systems from Ireland and the UK for more than 20 years, building a dynamic and diverse team of more than 2,100 talented individuals. With a continued record of growth and stability, we're on the constant lookout for fresh talent to join our expanding teams.
If you're looking for a career where you can make a positive impact every day, using the latest advances in technology and innovation, this is truly the opportunity to do your life's best work.
Careers with Optum offer flexible work arrangements and individuals who live and work in the Republic of Ireland will have the opportunity to split their monthly work hours between our Dublin or Letterkenny office and telecommuting from a home-based office in a hybrid work model.

Primary Responsibilities:
Provide reporting and analytics on Client and Rebate trends and performance metrics
Create and maintain performance-tracking tools (e.g., dashboards, source-of-truth documentation)
Work towards accurate implementation of client contractual terms
Build relationships with related functions to ensure clear, two-way communication channels
Identify challenges and opportunities and communicate to relevant stakeholders
Perform analytics in line with organizational best practice, ensuring cross-functional alignment on methodologies
Required Qualifications:
Experience in Data Analytics / Finance / Business intelligence roles or similar.
Experience analyzing data to develop business insight and strategy.
Complex problem-solving skills.
Proven ability to work collaboratively with multiple teams or departments for business growth or profitability goals
Proven Data experience, data extraction, transformation and reporting.
Excellent understanding and knowledge of SQL
Experience with Data visualization tools (Power BI / Tableau)
Preferred Qualifications:
Excellent verbal and written communication skills; ability to translate complex analytic results into meaningful insight, conveying complex or technical information in a manner that others can understand.
Strong ability to plan and manage numerous processes, people, and projects simultaneously.
Experience with Public Cloud technologies such as (Azure, GCP, AWS)
Programming experience with Python
Experience developing data pipelines
Please note you must currently be eligible to work and remain indefinitely without any restrictions in the country to which you are making an application. Proof will be required to support your application.

Careers with Optum. Here's the idea. We built an entire organisation around one giant objective; make the health system work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.℠

All telecommuters will be required to adhere to the Optum Ireland Telecommuter Policy.

At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.

Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law."
cloud support engineer- data flow analytics,job_6d4b1b755f7576f9,https://ie.indeed.com/rc/clk?jk=6d4b1b755f7576f9&bb=Lda2kDTxpK_Bw6ZiyREAu2yrn1f8jfBgWu-2Bty13n7Ell0OXIiF3M_RFyEfWj2sUSKDv4HeFTlv3kScoys8YQncAHOyZdITY0mNP8UAYnw%3D&xkcb=SoAq67M3FTTCt1WHMZ0IbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,Today,"- Experience in software development, or experience in technical support - Experience troubleshooting and debugging technical systems
ABOUT US

Amazon Web Services is the market leader and technology forerunner in the Cloud business. As a member of the AWS Support team you will be at the forefront of this transformational technology, assisting a global list of companies and developers that are taking advantage of a growing set of services and features to run their mission-critical applications. As a Cloud Support Engineer, you will act as the ‘Cloud Ambassador’ across all the cloud products, arming our customers with required tools & tactics to get the most out of their Product and Support investment.

Would you like to use the latest cloud computing technologies? Do you have an interest in helping customers understand application architectures and integration approaches? Are you familiar with best practices for applications, servers and networks? Do you want to be part of a customer facing technology team helping to ensure the success of Amazon Web Services (AWS) as a leading technology organization?

If you fit the description, you might be the person we are looking for! We are a group of smart people, passionate about cloud computing, and believe that world class support is critical to customer success.

WHAT CAN YOU EXPECT FROM A LIFE AT AWS?

Every day will bring new and exciting challenges on the job while you:

Learn and use groundbreaking technologies.
Apply advanced troubleshooting techniques to provide unique solutions to our customers' individual needs.
Interact with leading engineers around the world.
Partner with Amazon Web Services teams to help reproduce and resolve customer issues.
Leverage your extensive customer support experience to provide feedback to internal AWS teams on how to improve our services.
Drive customer communication during critical events.
Drive projects that improve support-related processes and our customers’ technical support experience.
Write tutorials, how-to videos, and other technical articles for the developer community.
Work on critical, highly complex customer problems that may span multiple AWS services.

WHY AWS SUPPORT?

First and foremost this is a customer support role – in The Cloud.
On a typical day, a Support Engineer will be primarily responsible for solving customer’s cases through a variety of customer contact channels which include telephone, email, and web/live chat. You will apply advanced troubleshooting techniques to provide tailored solutions for our customers and drive customer interactions by thoughtfully working with customers to dive deep into the root cause of an issue.
Apart from working on a broad spectrum of technical issues, an AWS Support Engineer may also coach/mentor new hires, develop & present training, partner with development teams on complex issues or contact deflection initiatives, participate in new hiring, write tools/script to help the team, or work with leadership on process improvement and strategic initiatives.
Career development: We promote advancement opportunities across the organization to help you meet your career goals.
Training: We have training programs to help you develop the skills required to be successful in your role.
We hire smart people who are keen to build a career with AWS, so we are more interested in the areas that you do know instead of those you haven’t been exposed to yet.
Support engineers interested in travel have presented training or participated in focused summits across our sites or at specific AWS events.

""As we operate on a follow-the-sun model, with Premium Support sites located globally, working hours and days are based on customer demand and may include weekends (on a rotational basis).”

https://www.youtube.com/watch?v=GC3bWcFFZTo&t=24s
Meet Kameliya: https://www.youtube.com/watch?v=BkdaVZlkwb0

This Analytics role supports our services that focus on Analytics technologies that allow customers to stream and search log data such as Kinesis, Managed Streaming for Kafka, Amazon OpenSearch and Cloudsearch.

We are open to hiring candidates to work out of one of the following locations:

Dublin, D, IRL

- Bachelor's degree in computer science or equivalent Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates. Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need an adjustment during the application and hiring process, including support for the interview or onboarding process, please contact the Applicant-Candidate Accommodation Team (ACAT), Monday through Friday from 7:00 am GMT - 4:00 pm GMT. If calling directly from the United Kingdom, please dial +44 800 086 9884 (tel:+448000869884). If calling from Ireland, please dial +353 1800 851 489 (tel:+3531800851489)."
sr revenue analyst,job_373b3cf8eb436f1e,https://ie.indeed.com/rc/clk?jk=373b3cf8eb436f1e&bb=Lda2kDTxpK_Bw6ZiyREAuw9v7ywCRjzEC-wmM5wf5JZkro84nTq-VeUNPiJ-9eOIV0U8hGgIBmWgpkbA3ZxIKgV6AHknN631GrBFPjCU7wc%3D&xkcb=SoCk67M3FTTCt1WHMZ0PbzkdCdPP&fccid=391006290e845887&vjs=3,Today,"At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology.
Cadence is a pivotal leader in electronic design, building upon more than 30 years of computational software expertise. The company applies its underlying Intelligent System Design strategy to deliver software, hardware and IP that turn design concepts into reality.
Cadence customers are the world’s most innovative companies, delivering extraordinary electronic products from chips to boards to systems for the most dynamic market applications including consumer, hyperscale computing, 5G communications, automotive, aerospace industrial and health.
At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology.
Job Title: Senior Revenue Analyst
Location: Dublin
Reports to: Senior Finance Manager
Cadence Design Systems is looking for a Sr Revenue Analyst to be a key contributor and business partner in the Revenue Accounting team. The Sr Revenue Analyst will act as a key member in the full scope of mergers and acquisitions process.
You will join a cohesive team whose environment thrives on collaboration across geographies and departments within the broader quote to cash team of this publicly traded software company with $4B in
annual revenue.
Job Responsibilities:
Part of your responsibility includes collaboration with business partners, including FP&A, Legal, QTC team, IT, new ventures group, to define, implement, and integrate processes as it relates to M&A.
The role will also encompass responsibilities in deal and contract review cycle, including deal consultation, deal review, and revenue accounting operations.
The ability to working with different personalities combined with critical thinking and working proactively to identify improved processes and approaches are instrumental in this role.
Analyze new and existing revenue business models relating to mergers and acquisitions with ASC 606 to properly recognize revenue.
Partner with cross-functional stakeholders to implement best practices, automation, and process improvements.
Collect, analyze, and interpret data on revenue, pricing models, and market trends.
Prepare reports and presentations on revenue performance for senior management.
Prepare revenue entries and general ledger reconciliations associated with revenue, deferred revenue, accounts receivable, and un-billed A/R.
Uphold and ensure compliance of SOX 404 Key controls.
Maintain and provide quarterly and annual audit support as requested by internal and external auditors.
Assist in evolving projects / responsibilities, including acquisition consolidated reporting and process automation.
Prepare / update annual SSP/FV analyses and memos.
Prepare quarterly and YE disclosure distributions.
Job Requirements:
Knowledge of software, hardware, and services revenue recognition rules under ASC 606 and other accounting standards.
Experience performing contract analysis under ASC 606.
Strong analytical and problem-solving skills.
Excellent interpersonal, communication, and business partnering skills.
Proficiency in Microsoft Office Suite, Excel, and data analysis tools.
Ability to work independently and as part of a team.
Flexible and able to manage multiple and constantly changing priorities.
Strong attention to detail and accuracy.
Highly organized with great attention to detail.
Motivated by dynamic and challenging environment.
Education/Qualifications:
Bachelor's degree in business administration, finance, economics, business analytics, data science or equivalent work experience.
CPA is preferred but not required.
4+ years of experience in revenue accounting, or a related field.
3+ years of Big 4 experience is a plus.
Additional Information:
Cadence is committed to equal employment opportunity and employment equity throughout all levels of the organization. We strive to attract a qualified and diverse candidate pool and encourage diversity and inclusion in the workplace.
We’re doing work that matters. Help us solve what others can’t."
information risk certification assurance analyst,job_e90b65a72c85385c,https://ie.indeed.com/rc/clk?jk=e90b65a72c85385c&bb=Lda2kDTxpK_Bw6ZiyREAu11uSjtheDtjnxHaEmPsQlV22HY4nmmlfU8PB07XPvp2GIpdI5lz4rFT91mVKkEst8kggVxKHlAY7qFUUzW1BA0%3D&xkcb=SoAQ67M3FTTCt1WHMZ0ObzkdCdPP&fccid=dfe02f305faae997&vjs=3,Today,"Our client is a leading investment firm that is looking for an Information Risk Certification Assurance Analyst to join their team in Dublin. The Information Risk team sits within the 2nd Line of Defence function, and is responsible for oversight and challenge of risk arising from the processing of the firm’s operational information and personal data.
Key Responsibilities:
Management, operation and development of control assurance.
Management of ISMS assurance audits and resolution of issues arising from them, liaising with colleagues across the firm.
Tracking and closure of internal audit and other issues
Identification and selection of tools and systems for efficient operation of the Information Risk function
Experience required:
Clear understanding of the ISO27001 standard and compliance audit management rather than just experience of Annex A controls.
The level sought is equivalent to the “ISO 27001 Lead auditor” qualification.
Experience with other information security frameworks such as NIST Cybersecurity and AICPA SOC2 would be valuable.
Analytical and organisational skills with the ability to work independently, and as part of a wider team, with minimal supervision.
If you believe your experience meets the criteria, please apply with a copy of your CV.
Note, this is a highly competitive position. We receive a high volume of applications and are unable to respond to each CV.
“Mason Blake acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers Mason Blake is an equal opportunities employer and welcomes applications regardless of sex, marital status, ethnic origin, sexual orientation, religious belief or age.”"
inventory control leader & supply chain analyst,job_4fbaac1fdb3b7847,https://ie.indeed.com/rc/clk?jk=4fbaac1fdb3b7847&bb=Lda2kDTxpK_Bw6ZiyREAuwHdNP8DCFTMGZaHwOnVjXvFMuOKn-QqcI7oyoV6C5kRePSB_dJZgR7qqTBi61A2nBuWCMs-yusJuZuidwN3z-U%3D&xkcb=SoCN67M3FTTCt1WHMZ0NbzkdCdPP&fccid=156e37836c4121f8&vjs=3,Today,"Inventory Control Leader & Supply Chain Analyst – Perm – Dublin

This is an exciting opportunity for someone to join a leading global medical technology company. The right individual will excel in driving continuous improvement, possesses strong analytical skills, and demonstrates effective leadership in managing teams or projects, ideally within a manufacturing context.

If you would like to discuss this vacancy further or to discuss your career options in confidence, please call Eric Yeung at 0868766396 or send your profile to eyeung@berkley-group.com

The Job:
Drive the inventory control program site-wide, ensuring full support and compliance from key stakeholders for accurate inventory maintenance.
Lead the inventory control team, overseeing operational activities such as cycle counting, COGI reconciliation, material storage setup, and control audits.
Conduct root cause analysis to identify and eliminate issues affecting inventory accuracy, collaborating with stakeholders.
Redefine Inventory Control KPIs and processes, aligning targets with best-in-class performance and meeting Finance/Quality expectations.
Provide analytic insights to support the Logistics Manager in driving improvements in logistics optimization, including material handling efficiency, inventory accuracy, storage utilization, labeling, service level improvement, and freight optimization.
Participate in continuous improvement and cost reduction projects across the supply chain.
Collaborate with IT to maximize the capabilities of current systems (e.g., SAP, scanning), identifying and implementing improvements.

Have you:
Team player with strong relationship-building skills among internal stakeholders and suppliers.
Planning and analytical skills with the ability to collate and analyse data for decision-making.
Pragmatic LEAN focus for continuous improvement through engagement.
Good working knowledge of SAP or similar ERP systems, particularly in Logistics, with a curiosity for exploring their full capabilities.
Experience in leading a small team or possessing the skills and desire to do so.
Excellent oral communication, business writing, and presentation skills.
Minimum of 5 years professional experience within Logistics or planning (preferably in a manufacturing organization).
Analytical ability to utilize the capability of ERP systems to drive process improvement and provide decision making information, track activity and track performance.
Experience in related fields like production operations, procurement or planning would be an advantage. Broad view on Supply chain management and processes.
.

Berkley Supply Chain & Procurement is a specialist consultancy, recruiting professionals for organizations throughout Ireland, UK & Europe; for more information go to www.berkley-group.com."
grade 5 data analyst,job_2cd6be32a1f3f25a,https://ie.indeed.com/rc/clk?jk=2cd6be32a1f3f25a&bb=Lda2kDTxpK_Bw6ZiyREAu1U71s7OEgAXIdVpd_DpNrBpdlqs86K4ZhQwsEPFe3f9ueOzuYS5_UftbfKj49DKBGxMjRrLTdBhBea7NV2OQAw%3D&xkcb=SoA567M3FTTCt1WHMZ0MbzkdCdPP&fccid=15215f8fa5361b3f&vjs=3,Today,"Professional and Technical
Grade 5
€48,089 - €57,572 (LSI2)
Advertised Date: 19 Jan 2024
Annual Salary
Dublin
12 Month Contract Secondment/Confined
Closing Date: 05 Feb 2024, 05:00 PM

Job Summary
The primary objectives of this role include taking ownership of a series of projects and building out the function of the Central Data Unit by automating the collection of strategically important government sector data, applying appropriate statistical analyses to that data, and producing a range of innovative visualisations to communicate analysis results. This is an opportunity to use and extend your incredible data skills to make a genuine difference to strategic imperatives influencing every aspect of life in Ireland (including housing, homelessness, heritage, climate, and more).
Further information is available in the Candidate Information Booklet available on our website

Contact Details
Human Resources Department
LOCAL GOVERNMENT HOUSE
35-39 USHER'S QUAY
Dublin 8
D08 H56R
jobapplications@lgma.ie"
sustainability data analyst,job_8dc5a38de603aabf,https://ie.indeed.com/rc/clk?jk=8dc5a38de603aabf&bb=Lda2kDTxpK_Bw6ZiyREAu-SdJeW0I7b9Le3vXDfwQewVsvxVXzPaSZqH1-2ZrhvLF796lSm6h96cpTIwpJr7O8HH-P5iZW-pfubR7fGUMIs%3D&xkcb=SoDQ67M3FTTCt1WHMZ0DbzkdCdPP&fccid=5ad64a850126a975&vjs=3,Today,"Woodie's is the market-leading DIY, Home& Garden retailer in Ireland with 35 stores nationwide and an online presence. We are proud to be listed as Ireland's Top Retailer by Great Places to Work and an official Best Workplace for Women! We are also listed as one of the 75 Best Large Workplaces in Europe and are recognised by the Irish Centre for Diversity & Inclusion as an accredited Investor in Diversity.

We are seeking a Sustainability Data Analyst to join our Support Office team.


Our ideal candidate:
Relevant experience or qualification in sustainability, or a related field.
Relevant or transferrable work experience in data analysis, preferably in sustainability data management within a retail or related industry.
Exhibits proficiency in data analysis tools and familiarity with data visualization software (e.g., Power BI).
Demonstrates an understanding of sustainability principles, ideally in retail or supply chain contexts.
Has experience working collaboratively with suppliers or external partners for data collection and verification.
Shows excellent analytical, problem-solving, and critical thinking abilities.
Possesses strong communication skills, able to translate complex data insights into clear, actionable information.
Is adaptable, continuously learning, and can navigate changes and new challenges effectively.
Key Responsibilities:
In-Depth Sustainability Data Analysis:
Perform a comprehensive analysis of sustainability-related data, spanning a wide array of product lines and categories.
Utilise advanced analytical techniques to identify trends and pinpoint areas of improvement.
Development of Data Models and Dashboards:
Innovate and design data models and interactive dashboards that provide real-time insights into Woodie's sustainability performance.
Regularly update and refine these tools to adapt to evolving business needs and sustainability goals.
Ensure these models are user-friendly and accessible, enabling stakeholders to make informed decisions swiftly.
Strategic Support in Sustainability Initiatives:
Act as a contributor in the development and execution of Woodie's sustainability strategies.
Leverage data insights to inform and shape initiatives, ranging from waste reduction programs to carbon footprint minimisation projects.
Conducting Regular Reviews and Audits:
Implement a schedule of reviews and audits to continually assess the accuracy and integrity of our sustainability data.
Effective Communication of Findings:
Articulate complex data findings in a clear and impactful manner
Prepare detailed reports to highlight key insights and progress made against sustainability targets.
Our benefits include:
Base salary between €40,000 - €42,000 based on experience.
Hybrid working (3 days on-site in Tallaght and 2 days remote-working each week)
Annual Bonus Scheme
Colleague Discount
Gympass
Company Pension
Wellness Initiatives
Paid Parental leave
Sick-pay
Discounted Healthcare
Flexi-Wage - Choose your own pay cycle!

We are an equal opportunity employer and value diversity at Woodie's. We do not discriminate on the basis of race, religion, colour, national origin, sex, gender, gender expression, sexual orientation, age, marital status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform critical job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation."
"technology solutions analyst, p&p",job_fe8e8da3bf51e8c7,https://ie.indeed.com/rc/clk?jk=fe8e8da3bf51e8c7&bb=Lda2kDTxpK_Bw6ZiyREAuxlkAzI8NMxjcliKO0qSQJC3l83BJm7D1LrIwLo7_u35jMaHNKaWYRFs9yREXdbKO6OzRqz1qgCUyR26VAVXZ8Y%3D&xkcb=SoBk67M3FTTCt1WHMZ0CbzkdCdPP&fccid=9ac45d217f8342a1&vjs=3,Today,"Your work days are brighter here.
At Workday, it all began with a conversation over breakfast. When our founders met at a sunny California diner, they came up with an idea to revolutionize the enterprise software market. And when we began to rise, one thing that really set us apart was our culture. A culture which was driven by our value of putting our people first. And ever since, the happiness, development, and contribution of every Workmate is central to who we are. Our Workmates believe a healthy employee-centric, collaborative culture is the essential mix of ingredients for success in business. That’s why we look after our people, communities and the planet while still being profitable. Feel encouraged to shine, however that manifests: you don’t need to hide who you are. You can feel the energy and the passion, it's what makes us unique. Inspired to make a brighter work day for all and transform with us to the next stage of our growth journey? Bring your brightest version of you and have a brighter work day here.
About the Team
The Workday People & Purpose organization enables high performance for Workday by crafting remarkable experiences for our employees, candidates, customers and communities we engage with through the people programs and services we deliver. As the company continues to grow, we are redefining how we deliver services to our employees, which includes providing remarkable support and consultation services, as well as driving simple and scalable digital experiences for all Workday employees using the best of our own Workday technology.
About the Role
In this role, you will assist the business, implementing solutions, by detailing business requirements as well as documenting functional and operational specifications. You will act as the key interface between the users and the project manager to gather information, document processes, and confirm the final requirements. Main tasks will include performing detailed requirements analysis, documenting processes and current workflows, and user acceptance testing management.
About You
Primary Responsibilities:
Translate business objectives into business requirements
Write the business specifications detailing operations of an application or specific function
Develop functional and operational requirements using requirements management methodology and tools
Test and analyze final requirements
Ensures requirements are communicated effectively to parties responsible for technical development and implementation
Assist with data analysis to drive process improvements
Support the development and delivery of technical requirements
Provide innovative insights into ways to improve processes and programs on a global scale and streamline user experience
Ensure project success, including evaluating technical/functional requirements for completeness
Clarify ambiguity and adapt to constantly evolving environments
Manage multiple priorities and complex tasks in a multifaceted work environment
Manage and adapt to ensure timely delivery of projects, working closely with cross-functional teams
Drive employee-centric and service minded solutions when evaluating and delivering key processes

Our Approach to Flexible Work

With Flex Work, we’re combining the best of both worlds: in-person time and remote. Our approach enables our teams to deepen connections, maintain a strong community, and do their best work. We know that flexibility can take shape in many ways, so rather than a number of required days in-office each week, we simply spend at least half (50%) of our time each quarter in the office or in the field with our customers, prospects, and partners (depending on role). This means you'll have the freedom to create a flexible schedule that caters to your business, team, and personal needs, while being intentional to make the most of time spent together. Those in our remote ""home office"" roles also have the opportunity to come together in our offices for important moments that matter.
Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!"
