title,id,link,date,job_description
maintenance technician (electrical) - dublin 3 (am18158),sj_8406b1af34f03d2b,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8963UVSHQvE14Gz87xEjFAazKwo8pwGt2AcCk0nHr42kDSuf3Mi8ZyaVg53Qijir90_Qm1Q588QQ6lWUwXDJ9nXC3sedbrJN4vxMujoOrQL0P5BIeuVMeMEdWqKYoybDsEv-NLXMbDBTSK3axGohD5OOQrNi0BrvJrdlam0i1_kdtCLwFtT0UwVETkTSJlFdYUqkYowxlhmhAAj-DGUAn7ppL5nftu46BXs_hX00-9myD5T9LcnIx0xATWT8kBCkAa9MKK5MVU73xK5joXIIrlK4_owpuEg6_dglcR6u1G9NK9ZcNoXIjFV_vw7Uo4_IHMJiqhZYm7LMtoUx3ufx8oQy9ThJmsA7VBhClDeIpp8xhycYf4v5k-EJpZMRRqatfYIwToH6y777i3bX6gAwoMwpv7xgE-c_FxeGCt2b2oLnnll1S7XHF09wGR4NK3vwGgitHCOBZ_gbYOjei-V6sAz3rlads2XRQM5oZm7RxVje364Sk_9DZGjkx2w3APZDc_9giWsD5eLo_v6HYUzj24SuUMZpbjnAcJQ1t0JNstpTSIUm4z1Ua68G8dxFp6KYBWx0eThN_BgxtUGIJq4WfUmYQmdk0yOsnpwLehOHXJeYIK5CTNfixZKZy3a8wFJJLnsAjCnq-YCMcIMhT6q50dxVjdvBwjvrSlso9yXZDN3bd1HRBIk0Z&xkcb=SoC86_M3FTSwrK07Mx0LbzkdCdPP&p=0&fvj=1&vjs=3,Today,"Maintenance Technician (Electrical) - Dublin 3.
Duties will include:
Maintenance of predominately Electrical and Mechanical Systems.
Manage records and documentation of all maintenance activities in Maintenance Management System. Ensure day to day preventive and corrective maintenance work orders are completed in a timely and cost effective manner.
Attendance, supervision and management of scheduled & other closures. Flexibility to attend and manage contractors during maintenance operations including closure works.
Assist in the implementation of equipment and system upgrade projects (CAPEX).
Manage and support projects to improve equipment reliability, performance and availability.
Develop, manage and supervise projects undertaken by the Maintenance Department.
Provide on-call cover for out of hours Maintenance activities. Undertaken as part of a roster.
System owner of complete systems e.g. ventilation, MV, LV, power etc., inclusive of the management of related Contractors/Suppliers.
Prepare and review Method Statement Risk Assessments (MSRA).
Ensures that all processes and procedures are undertaken in line with Company Standards ISO 55001:2014, ISO 27001:2013, ISO 9001:2008, ISO 14001:2004 and OHSAS 18001:2004
QUALIFICATIONS, SKILLS & EXPERIENCE REQUIREMENTS:
Time served electrical qualification is a minimum requirement.
MV experience is desirable.
5 years’ experience as a maintenance technician
Computer literacy – Microsoft Word / Excel / Outlook
Job Types: Full-time, Permanent
Schedule:
Monday to Friday
Work Location: In person
Reference ID: AM18158"
electrician,sj_90090379dc44bbc5,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAkp0XFzye14tYByJ9bG7_G8t2H0RsHXoy06gAIxoqHWudm3mQ_GjHMQrQzWg9cjU1crEor7oYuzvKPNPvmQmUuv2HBodb45Kud5RTh-pPT6lmKekqLMKKhywhGj7ELfGmlX7XKlDdhMLSCbY9GqT0lqNrBPBsfxxrUg1mrjq1Bxiv19mpk3gVcd3rqNsJMRVWD4KbYh_MSrDhFI_DpzQD35whKdRrPY3nK-ixVnT9m-NpaVivaXF3SZ4atPvTq0XiOukJMGwEiScm4IqWluaR9om-b9Ys3Ok-Swm0GJxqKwegtchzkhVmVPenOgzuN_HWQnMZ_GEVkx7iifo4eejrPGHxIaFPCcyT44wgypSQ5vtCS3kmxwsSefzmkEX7dFwygZAmZRzrDEBD9J3-53ciED24iVwMBR_RDiXKCEqZfzYBDCIT6w8bTDvjhFcFjTyfNTxmWP0A5K7R7wGiw-QX2tSZoAz2z4We6pkPsTWXuaSQja-veZNIefNyVDduNeozjcPazAYilewUdKYx3F1fq_4bpUyM4mFK83wMDatVSIqQBgVXjx1Pt520Rd5YQg2KoqVe8yqoK5tCS7NBSNkyqbRryj_0dAR18igLToOI-3APqArignoxU0S2PfiU4Lw=&xkcb=SoAI6_M3FTSwrK07Mx0KbzkdCdPP&p=1&fvj=1&vjs=3,"Employer
Active 2 days ago","Job Summary
Position available for the right candidate to join a dynamic professional company with high standards and solid reputation.
If you are tired of the same mundane job tasks or sick of being just a number and see yourself as an enthusiastic bright and driven individual who wants to work for a company who will support you to grow and achieve and to further your career then DND might just be for you.
In turn we expect a positive attitude to want to contribute to the enhancement of the company and the people around you as you will be joining a friendly, positive and supportive team.
Job Type / Category
This job roll will involve you working on commercial office fit-out projects as well as working with our maintenance division carrying out Preventive & Reactive Maintenance for a number of high-profile clients.
Required Education, Skills and Qualifications
Applicants must meet the criteria listed below.
Fully qualified electrician with experience in the commercial and Industrial industry
Up to Date Safe-pass & Manual Handling
Desire to learn and develope your skills and experience
Have an honest, mannerly and friendly attitude
Full Clean Drivers Licence
Benefits
Work Wear Provided
Work Van provided to right candidate
Work Phone
Various Training Courses
Chance to learn from experienced peers
Job Type: Full-time
Application question(s):
Are you a fully Qualified Electrician?
Education:
Junior Certificate (preferred)
Experience:
Electrician: 1 year (preferred)
Language:
Fluent English (required)
Work Location: In person"
project manager,job_202e397d333873c9,https://ie.indeed.com/rc/clk?jk=202e397d333873c9&bb=5VUL6X0-TX3WnFdWJWVoAbdMc66bcCt167PVp7nYCpLRz5Ll6lihM7Gh2ObkQBYaZ_dmoEkvqQmqfXHyMdIYFNe2YsBcAFDNWg9LCNWF2oM%3D&xkcb=SoBh67M3FTSwrK07Mx0JbzkdCdPP&fccid=e8d1be1bd0a65427&cmp=BMS-Performance&ti=Project+Manager&vjs=3,Today,"PROJECT MANAGER - DUBLIN
Irelands largest independently owned and operated security firm looking for an experienced electrical Project Manager to cover projects throughout the Dublin region
THE COMPANY:
Established over 25 years, this independent Irish company is growing at a rate of 10-15% year on year. Currently Irelands largest independently owned and operated security firm, they have established a large client base ranging from blue-chip organisations to SMEs and have completed projects in a wide variety of sectors, including food, beverage and pharmaceutical manufacturers to hotels and office blocks and international retail chains.
THE ROLE:
Predominantly based in the Greater Dublin area with international travel required, the successful Project Manager will be responsible for managing projects from start to finish.
Duties will include:
The international travel will be roughly 50% of the time travelling in Europe - all costs are expensed.
· Managing projects from initial design stages to completion
· Managing site personnel on site
· Oversee product construction and testing in order to ensure completion of projects is as efficient as possible
· Attend site meetings with project management teams and implement agreed programmes
· Ensure the operations runs to the agreed schedule and within H+S and quality guidelines
THE PERSON:
Candidates that possess Project Management Experience in the security market are highly desired, experience in general building services will also be considered. Ideally, you will have an electrical background i.e. you will be a qualified electrician or electrical engineer.
THE PACKAGE:
· Salary: €70k - €80k
· Car Allowance/vehicle
· 25 days holidays
· Laptop / Phone
LOCATION: Greater Dublin
BMS Performance specialises in recruiting Engineering professionals, nationally. We recruit within the Industrial, Construction, IT, Engineering, and Corporate markets.
We have many other roles available so feel free to contact Ross Wilkinson to discuss how we can help you!
Job Types: Full-time, Permanent
Salary: €70,000.00-€80,000.00 per year
Benefits:
Company car
Company pension
Free or subsidised travel
Schedule:
Monday to Friday
Work Location: In person"
electrician,sj_1cdea468a7c64703,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWDuRSh0R2zniaEhzBCX89Xy9kWGHrQf9_nDwdxjsFAt6jqEsDbT0_L4Wi0IfQavPc6lePMh4vZKJJ0f86lefLwrUbfGbXuOGK-W4zTHtbZ4-GCjBVqdZQBBhBplyc_J_OJzfl_wPMGtmLKuGDMgzSOF390j_1i3UscqjVQ5V5n6wA83tT6So0B69KkVno_ILbOI_jOKORui0ZBhmV3k2-_PjOxbXxjMIpIYWUJVC2zZGYoRalxKjvj3CG6NFh7mvCBgvdi7nuNPm9aSzB2O83g08vC34gfeaB_zgqayptph6XlcOrePvec7xyTlc2hwy0IsgHuae63CczBao89kJJoHFQplkxFX4IS9DqWHJAAvhRzEqS6Gjc5eO2Ih_OXPgD6LASE6IUxHkTPRI_ksDubG1r9qDYVo8Ylcyo2GXljNRHbQMFrlyidDyvK1A9Se_cu9U4Dmhx7DSjjBvMqsP48R8kgounV7L5hMUYk1_dU54OEPzYDSnLJ51ukhouarDFOJP2nYHikWTBQTTdP9m2wxU_QFF5DHqaIHK3ROuSf9X0ao9EHRbaUECTCJ70CHhCg15Pe5kN2FEYHTvKXlFsq8qKZptHkNPlHPGnFSA_7RlxiddePMXr6HZbvcPcqU0=&xkcb=SoAh6_M3FTSwrK07Mx0IbzkdCdPP&p=3&fvj=1&vjs=3,"Employer
Active 2 days ago","Full Time Electrician Required in the Dublin Area for work on Commerical Projects. A good standard of English required and candidate must be a resident in Ireland.
Job Type: Full-time
Salary: €35,207.10-€66,474.81 per year
Benefits:
Company pension
Schedule:
Monday to Friday
Supplemental pay types:
Overtime pay
Experience:
Electrician: 1 year (preferred)
Licence/Certification:
Manual Handling Certificate (preferred)
Safe Pass (preferred)
Work Location: On the road"
maintenance electrician,sj_d10397113e1e32e3,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnzRkaKcv1Fhr9gpPEB3PTtU25lPR4qrSrIU5pTTjTMW7Os_9ZG5mk8Vkk5zzIt8Q9rRl6EXeBM_TdgY4muC1RGYW897r5tD8yiBMbvSCS18tquQ2kKGVOyVAGjG6M9Pmqn3EtIXnhBNz3tZusZ6_AG9jw2VXlH16EdVvbKbDnwza2-3iodlA63edWsT76IXd1XsKB-UBxq5Xq0F6zdce294KdUzJO7kfxbeXaN-OjGDi9eZWLtisx1LUs20i--dCsYFYxzVhj84rj35CHYAkiKWYaCCgY_W-fL5ZJxpmiv_gLQ6LYay-lMtuTFYOpC_dpJhapF5d2KTASOALnClIUIIjKxyTbGsJYC0C4WZcMHUbeCRyXeGSifKqTqBh0kT92KWimbIqGdl_GH2U01Lmcvgx9zl8P-ceVFugyNAl64agJBFBV-TNfwIjIZr5xgAmvm-VdK3E2npldjft9xIn3cxWjhBYDkBDGOS4aI327_oweDYPO7fCYRzc-WPqoWSD2aNJvcHUH3idhH8qRUeNDJBE22EwFlh5fexKtz89Yr5EPEZZ5fCxFnJ8LDLJJkFDAaNVBDSJNjYGGzHx3e1nTfVLemTdtiZMnGi6AzqXVuaLltfnkouGJdZ3myH24rVChSh_RYcO2JlizSVzAUNz1lDyWTp_v77F0GeGYnVCnDzRDszuMNymGIySiElFP9a4=&xkcb=SoCv6_M3FTSwrK07Mx0PbzkdCdPP&p=4&fvj=0&vjs=3,Posted 1 day ago,"In our 'always on' world, we believe it's essential to have a genuine connection with the work you do.

Help lead the way in manufacturing that's smarter, simpler, and better!

We are looking for extraordinarily hardworking and forward-thinking people to be part of a team dedicated to delivering industry-leading performance through outstanding talent, an innovative culture, and teamwork.

Now hiring a Maintenance Electrician with a focus on various tasks related to electrical systems and equipment, to improve available running time and performance.

You will join the Maintenance Team, which includes other fitters and electricians, based in our Bray, Dublin location where there is a chance to create a real impact being part of the installation team for “new to Bray” machinery and equipment in Ireland!


HOW YOU'LL HELP US CONNECT THE WORLD:


Responsibilities include assembling, installing, testing, maintaining, repairing, and replacing electrical components using hand and power tools.

You'll diagnose malfunctions, test electrical systems for accurate operation, and inspect equipment for hazards or defects. Advising management on equipment operation is part of the job.

Using a range of tools and equipment, you'll work at heights to install and repair electrical wiring and equipment. Your tasks involve planning and performing installations while adhering to codes, preparing sketches, and updating drawings for accurate records.

You'll also pull wires through conduits, construct parts, and work on tasks like dismantling and assembling equipment with precision.

Maintaining detailed records of breakdowns and repairs, collaborating with maintenance fitters, and contributing to equipment modifications are part of your responsibilities. Additionally, you may work with external contractors when needed.


REQUIRED QUALIFICATIONS FOR CONSIDERATION:
Fully qualified Electrician in Ireland
Electrical proficiency, being able to diagnose and tackle problems, to be able to read electrical drawings.
Knowledge of Mechanical containment installations, e.g., conduit, cable ladder, trunking etc.
Work from Heights, e.g., Ladders, MEWP

We offer private medical insurance, life assurance, contribution Pension Scheme, Cycle to Work Scheme, recognition programme, contribution towards Sports Club Membership, Subsided Canteen and Free Parking
What Happens After You Apply: Learn how to prepare yourself for the next steps in our hiring process by visiting https://jobs.commscope.com/content/How-We-Hire/?locale=en_US


WHY COMMSCOPE?


CommScope is on a quest to deliver connectivity that empowers how we live, work, and learn. Our employees push the boundaries of communications technology that enables groundbreaking discoveries like 5G, the Internet of Things, and gigabit speeds for everyone, everywhere. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.
If you want to grow your career alongside forward-thinking, hardworking, and caring people who strive to create what's next…..come connect to your future at CommScope.
CommScope is an Equal Opportunity Employer (EEO), including people with disabilities and veterans. If you are seeking an accommodation for the application or interview process, please contact us to submit your request at talentacquisition@commscope.com."
maintenance electrician,sj_c10ab04b3633199e,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnzRkaKcv1Fhr9gpPEB3PTtU25lPR4qrSrIU5pTTjTMW7Os_9ZG5mk8Vkk5zzIt8Q9rRl6EXeBM87bXLoVcu7qiG0pnhvB0A7nzR0pEU6orHhsPiWnWEEhCc9O0xkXzwnedVAKBIBjL-JCX-4qdVssBHPsZuwA1mUfoq2vQ8nbyxQLZ5oRu8FgZcuh2_5-yBCR-8JoLmCGDv3TPOZ9C0QbFgdMocyIOPOoF6IltlGRWX6A2WIbxjf7whSKDNiNj2NUafHg0pE04f4YGCwFOEeW3dDfdNbrIKXHEJv2E46KYApk65E5AEmpdYaCCb8_JSM3wwHa4PxA39opY8oShneAMduexvfhAzmLuLFlrD9vaidhVLIFtcf5Hu4DxHdwTlYtRAufcU2GjMWGX8prKSysKCLLBk89HlYvrE42lnMgWEe4-En4Nt0T1_A6wncOKNOnGW45n5Ub1Q8nDpQ36X7H7vsFKSu9TN_ygo7eXKAaXIkrqm__ZgIhj8DEyNKH3tgUOWrQfkZ0xLDTuItucwhDgWHik2Lja157T1M557gYoDR8rZixFMqbTE59qcn-eFoOVx8tJ-fK2j8x-6Cxb87q64SWfAtgibPqU4trAe9bP89dBLxurHyezDaQ2qq8ceuGnJ2lBr9x5ui8NnmIR7EVrHXl6LqchUvX2gw7wwf74q1xuecnWb6jWIC5OBpjnbM=&xkcb=SoAb6_M3FTSwrK07Mx0ObzkdCdPP&p=5&fvj=0&vjs=3,Posted 1 day ago,"In our 'always on' world, we believe it's essential to have a genuine connection with the work you do.

Help lead the way in manufacturing that's smarter, simpler, and better!

We are looking for extraordinarily hardworking and forward-thinking people to be part of a team dedicated to delivering industry-leading performance through outstanding talent, an innovative culture, and teamwork.

Now hiring a Maintenance Electrician with a focus on various tasks related to electrical systems and equipment, to improve available running time and performance.

You will join the Maintenance Team, which includes other fitters and electricians, based in our Bray, Dublin location where there is a chance to create a real impact being part of the installation team for “new to Bray” machinery and equipment in Ireland!


HOW YOU'LL HELP US CONNECT THE WORLD:


Responsibilities include assembling, installing, testing, maintaining, repairing, and replacing electrical components using hand and power tools.

You'll diagnose malfunctions, test electrical systems for accurate operation, and inspect equipment for hazards or defects. Advising management on equipment operation is part of the job.

Using a range of tools and equipment, you'll work at heights to install and repair electrical wiring and equipment. Your tasks involve planning and performing installations while adhering to codes, preparing sketches, and updating drawings for accurate records.

You'll also pull wires through conduits, construct parts, and work on tasks like dismantling and assembling equipment with precision.

Maintaining detailed records of breakdowns and repairs, collaborating with maintenance fitters, and contributing to equipment modifications are part of your responsibilities. Additionally, you may work with external contractors when needed.


REQUIRED QUALIFICATIONS FOR CONSIDERATION:

Fully qualified Electrician in Ireland
Electrical proficiency, being able to diagnose and tackle problems, to be able to read electrical drawings.
Knowledge of Mechanical containment installations, e.g., conduit, cable ladder, trunking etc.
Work from Heights, e.g., Ladders, MEWP

We offer private medical insurance, life assurance, contribution Pension Scheme, Cycle to Work Scheme, recognition programme, contribution towards Sports Club Membership, Subsided Canteen and Free Parking

What Happens After You Apply: Learn how to prepare yourself for the next steps in our hiring process by visiting https://jobs.commscope.com/content/How-We-Hire/?locale=en_US


WHY COMMSCOPE?


CommScope is on a quest to deliver connectivity that empowers how we live, work, and learn. Our employees push the boundaries of communications technology that enables groundbreaking discoveries like 5G, the Internet of Things, and gigabit speeds for everyone, everywhere. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.
If you want to grow your career alongside forward-thinking, hardworking, and caring people who strive to create what's next…..come connect to your future at CommScope.
CommScope is an Equal Opportunity Employer (EEO), including people with disabilities and veterans. If you are seeking an accommodation for the application or interview process, please contact us to submit your request at talentacquisition@commscope.com."
data centre electrician,job_65bbb445d35f62db,https://ie.indeed.com/rc/clk?jk=65bbb445d35f62db&bb=5VUL6X0-TX3WnFdWJWVoAYzQ8iMdG0oD_fy9txG4kzAtx4dcO9UjpW-Mp2E0NBQwrm1uhVz6QAjJdtJmbkN1xYQ1fcl0NA9lA4nv4aJo-rc%3D&xkcb=SoBy67M3FTSwrK07Mx0NbzkdCdPP&fccid=7b16a29994404f44&cmp=Mastertech-Group-Ltd&ti=Data+Center+Technician&vjs=3,"Employer
Active 2 days ago","Data Centre Electrician
We are seeking a highly skilled Data Centre Electrician to join our team. If you have a solid foundation in electrical principles, regulations, and safety protocols, along with the following qualifications and experience, we want to hear from you!
Key Requirements:
· Formal Qualifications: Candidates must possess formal qualifications as an electrician.
· Experience with UPS, PSU, and Batteries: Hands-on experience with Uninterruptible Power Supply (UPS) systems, Power Supply Units (PSU), and batteries is essential.
· Critical Power Systems Maintenance Understanding: Thorough knowledge of critical power systems used in Telecoms/Data Centres.
· Arc Flash Trained: (Preferred) Training in Arc Flash for awareness of associated risks and safety measures.
· Mobile Tower CSCS Ticket: (Preferred) Certification for safe work in construction environments, particularly mobile towers.
· Calculations in Arc Flash and Shock Potential: (Essential) Ability to perform calculations related to Arc Flash and shock potential.
· Full Clean Driver's License: (Essential) Valid and clean driver's license for travel to different work locations.
· Safety Proficiency: Ability to complete Procedure of Works within Risk Assessment Method Statements (RAMS) and conduct daily risk assessments in critical sites.
· On call rotation
· Some OT & out of hours will be required.
Package & Benefits:
Competitive salary
Company Van
O/T available (when required)
Good working environment
Progressive company
Be part of a good team and company ethos.
Upskilling cost covered if within scope of day to day works or benefit to the company.
Long-term contract
Uniform provided
Job Types: Full-time, Permanent
Salary: €60,000.00-€65,000.00 per year
Schedule:
8 hour shift
Monday to Friday
Experience:
Data Centre Electrican: 5 years (preferred)
Licence/Certification:
Driving Licence (required)
Work authorisation:
Ireland (required)
Work Location: On the road"
electrician/plumber,job_f854e7374cd7b6d3,https://ie.indeed.com/rc/clk?jk=f854e7374cd7b6d3&bb=5VUL6X0-TX3WnFdWJWVoAVzLgZRjwLYFjK4VAvon5Lqqw-mZC-p9L-j8QQ0bdeueNXyuqFl26UG0fIR072KKR7Y2H6VIsk3U_vmD93TGqPE%3D&xkcb=SoDG67M3FTSwrK07Mx0MbzkdCdPP&fccid=bb7b4bb506b49286&cmp=NGS-Mechanical-Services-Ltd&ti=Plumber&vjs=3,"Employer
Active 2 days ago","Looking for full qualified electrician and plumbers to start asap don’t hesitate to text me on WhatsApp or email please send us your qualifications and cv and proof of ID such as valid passport & drivers Lisence thanks Neil
Job Type: Full-time
Salary: €28.00-€30.00 per hour
Expected hours: 8 per week
Benefits:
Language training provided
On-site parking
Sick pay
Flexible Language Requirement:
English not required
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Overtime pay
Performance bonus
Licence/Certification:
Manual Handling Certificate (preferred)
Safe Pass (preferred)
Work Location: On the road"
maintenance electrician,job_1d1053ad18459183,https://ie.indeed.com/rc/clk?jk=1d1053ad18459183&bb=5VUL6X0-TX3WnFdWJWVoAV3o8w1_KlYouIgNzIi_JxSBoX_d8GtC6GB0M8JluaPKjoV8KPN62ddnsSW6cfkqHTpOqCTASkSndyKcHk8PbLU%3D&xkcb=SoAv67M3FTSwrK07Mx0DbzkdCdPP&fccid=2579629f25cc4681&vjs=3,Posted 1 day ago,"In our 'always on' world, we believe it's essential to have a genuine connection with the work you do.

Help lead the way in manufacturing that's smarter, simpler, and better!

We are looking for extraordinarily hardworking and forward-thinking people to be part of a team dedicated to delivering industry-leading performance through outstanding talent, an innovative culture, and teamwork.

Now hiring a Maintenance Electrician with a focus on various tasks related to electrical systems and equipment, to improve available running time and performance.

You will join the Maintenance Team, which includes other fitters and electricians, based in our Bray, Dublin location where there is a chance to create a real impact being part of the installation team for “new to Bray” machinery and equipment in Ireland!

HOW YOU'LL HELP US CONNECT THE WORLD:

Responsibilities include assembling, installing, testing, maintaining, repairing, and replacing electrical components using hand and power tools.

You'll diagnose malfunctions, test electrical systems for accurate operation, and inspect equipment for hazards or defects. Advising management on equipment operation is part of the job.

Using a range of tools and equipment, you'll work at heights to install and repair electrical wiring and equipment. Your tasks involve planning and performing installations while adhering to codes, preparing sketches, and updating drawings for accurate records.

You'll also pull wires through conduits, construct parts, and work on tasks like dismantling and assembling equipment with precision.

Maintaining detailed records of breakdowns and repairs, collaborating with maintenance fitters, and contributing to equipment modifications are part of your responsibilities. Additionally, you may work with external contractors when needed.

REQUIRED QUALIFICATIONS FOR CONSIDERATION:

Fully qualified Electrician in Ireland
Electrical proficiency, being able to diagnose and tackle problems, to be able to read electrical drawings.
Knowledge of Mechanical containment installations, e.g., conduit, cable ladder, trunking etc.
Work from Heights, e.g., Ladders, MEWP

We offer private medical insurance, life assurance, contribution Pension Scheme, Cycle to Work Scheme, recognition programme, contribution towards Sports Club Membership, Subsided Canteen and Free Parking
What Happens After You Apply: Learn how to prepare yourself for the next steps in our hiring process by visiting https://jobs.commscope.com/content/How-We-Hire/?locale=en_US

WHY COMMSCOPE?

CommScope is on a quest to deliver connectivity that empowers how we live, work, and learn. Our employees push the boundaries of communications technology that enables groundbreaking discoveries like 5G, the Internet of Things, and gigabit speeds for everyone, everywhere. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.
If you want to grow your career alongside forward-thinking, hardworking, and caring people who strive to create what's next…..come connect to your future at CommScope.
CommScope is an Equal Opportunity Employer (EEO), including people with disabilities and veterans. If you are seeking an accommodation for the application or interview process, please contact us to submit your request at talentacquisition@commscope.com."
hvac electrician,job_1c9d5acbfa927c10,https://ie.indeed.com/rc/clk?jk=1c9d5acbfa927c10&bb=5VUL6X0-TX3WnFdWJWVoAVFkSe6H51Y0-7oZSm08zPygoafyFJgdnHQNwhWpuxuiErixPibKTXfL4-AxVd3QHZ0tXXO0oFVLt3-PtcH1L-A%3D&xkcb=SoCb67M3FTSwrK07Mx0CbzkdCdPP&fccid=7b16a29994404f44&cmp=Mastertech-Group-Ltd&ti=HVAC+Technician&vjs=3,"Employer
Active 2 days ago","HVAC Electrician
Are you a qualified electrician eager to specialize in HVAC engineering? We have an exciting opportunity for you to join our team as an HVAC Electrician. We'll support your development in all aspects of boiler servicing and installation, offering training and RGI registration.
Key Responsibilities:
· Begin with mechanical tasks, aiding in the servicing of boilers, pumps, AHUs, and air conditioning systems.
· Evolve your role to encompass small electrical works as you gain experience.
· Receive comprehensive training to enhance your skills in HVAC engineering.
Requirements:
· Qualified Electrician or **Phase 5/6 apprentice** (** salary negotiable)
· Willingness to specialize in HVAC engineering.
· Full driving license.
Benefits:
· Competitive starting salary of €53,000 per annum.+ expenses
· Company-provided van, phone, tablet, etc.
Job Types: Full-time, Permanent
Salary: Up to €53,000.00 per year
Schedule:
8 hour shift
Monday to Friday
Experience:
Electrician: 1 year (preferred)
Licence/Certification:
Driving Licence (preferred)
Work authorisation:
Ireland (required)
Work Location: In person"
