title,id,link,date,job_description
cardiac staff nurse,job_1df6cdf12a7ff3b4,https://ie.indeed.com/rc/clk?jk=1df6cdf12a7ff3b4&bb=KDvhOqIgqZ5NSFT5QjrOO23C8PptS_z7nVKCwpR56LoW4Fzx2imYf-7VMaZlwzzxoISVquSka--EG3V8ehIRKA5OjDsy4MsGmD2jxDyABCk%3D&xkcb=SoBL67M3FTSZ_k07Kh0LbzkdCdPP&fccid=c6715a18e860f1f6&cmp=White-Label-Management&ti=Cardiac+Nurse&vjs=3,Today,"We are looking for Nurses to join our team!
The Cardiac Staff Nurse is a permanent, full-time position with attractive incremental salary scales (in line with H.S.E. rates) and pension. Attractive bonuses are also offered for recognized post-qualification courses along with a generous relocation allowance for overseas candidates or Irish nurses returning from working abroad.
Responsibilities:
Administer medications to patients as prescribed by physicians
Conduct assessments of patients' cardiac health and review patients' medical histories
Perform physical examinations and analyze diagnostic test results
Monitor patients' vital signs, cardiac rhythms and changes in symptoms
Put in and remove IV drips
Track defibrillator use
Assist in various cardiac procedures, such as stress tests and electrocardiograms (ECGs)
Participate in the placement and management of temporary pacemakers or defibrillators
Provide guidance and information to patients and their families about cardiac health
Maintain accurate and detailed patient records
Respond to cardiac emergencies and perform lifesaving interventions as needed
Qualifications:
Recognized nursing degree or equivalent
Registration with the Nursing and Midwifery Board of Ireland (or be at an advanced stage of the registration process)
Minimum 1 year post qualification Cardiac nursing experience
Very strong command of the English language (verbal and written)
Benefits:
Salary €32,000 - €53,000 per year
Paid annual leave days
Full Pension
Postgraduate courses
Renowned hospital with state-of-the-art facility
Easily-accessible public transport routes
Outstanding career progression opportunity!
Great work environment and location! Apply today !!!
Job Types: Full-time, Permanent
Salary: €32,000.00-€53,000.00 per year
Benefits:
Additional leave
Company events
Company pension
Employee assistance program
Employee discount
On-site parking
Private dental insurance
Private medical insurance
Relocation assistance
Sick pay
Store discount
Unlimited paid holidays
Schedule:
10 hour shift
12 hour shift
8 hour shift
Day shift
Night shift
Overtime
Supplemental pay types:
Bonus pay
Overtime pay
Signing bonus
Yearly bonus
Experience:
Cardiac: 1 year (preferred)
Licence/Certification:
NMBI PIN (preferred)
Work authorisation:
Ireland (preferred)
Work Location: In person"
theatre staff nurse,job_8dac085957f00f90,https://ie.indeed.com/rc/clk?jk=8dac085957f00f90&bb=KDvhOqIgqZ5NSFT5QjrOO6vLP6RzbBCm65ZCHQdoTmzEiqePkoPCU2j6-hqwGtfBBeRpxgNS3TG6UM9DKg08LpgcfZy1hPi48cPuJnbG5Go%3D&xkcb=SoD_67M3FTSZ_k07Kh0KbzkdCdPP&fccid=c6715a18e860f1f6&cmp=White-Label-Management&ti=Theatre+Nurse&vjs=3,Today,"We are looking for Nurses to join our team!
The Theatre Staff Nurse is a permanent, full-time position with attractive incremental salary scales (in line with H.S.E. rates) and pension. Attractive bonuses are also offered for recognized post-qualification courses along with a generous relocation allowance for overseas candidates or Irish nurses returning from working abroad.
Responsibilities:
Preoperative phase
Anaesthetic phase
Surgical phase
Recovery phase
Qualifications:
Recognized nursing degree or equivalent
Registration with the Nursing and Midwifery Board of Ireland (or be at an advanced stage of the registration process)
Minimum 1 year post qualification Theatre nursing experience
Very strong command of the English language (verbal and written)
Benefits:
Salary €32,000 - €53,000 per year
Paid annual leave days
Full Pension
Postgraduate courses
Renowned hospital with state-of-the-art facility
Easily-accessible public transport routes
Outstanding career progression opportunity!
Great work environment and location! Apply today !!!
Job Types: Full-time, Permanent
Salary: €32,000.00-€53,000.00 per year
Benefits:
Additional leave
Company events
Company pension
Employee assistance program
Employee discount
On-site parking
Private dental insurance
Private medical insurance
Relocation assistance
Sick pay
Store discount
Unlimited paid holidays
Schedule:
10 hour shift
12 hour shift
8 hour shift
Day shift
Night shift
Overtime
Supplemental pay types:
Bonus pay
Overtime pay
Signing bonus
Yearly bonus
Experience:
Theatre: 1 year (preferred)
Licence/Certification:
NMBI PIN (preferred)
Work authorisation:
Ireland (preferred)
Work Location: In person"
"clinical nurse manager 2 camhs, dublin",job_576667000eff1946,https://ie.indeed.com/rc/clk?jk=576667000eff1946&bb=KDvhOqIgqZ5NSFT5QjrOO-TB_zhQEP3dvkNwsuVgJG4BlJWasYG0H6NNmNMRyJNP03924YICLhG5NBGRKZDnEHBLdHPmu_h1PEY6MZbXkS8%3D&xkcb=SoBi67M3FTSZ_k07Kh0JbzkdCdPP&fccid=d2675e0f02fa7353&vjs=3,Today,"Description:
Cpl Healthcare is delighted to have partnered with a renowned Dublin based independent 182 bedded acute psychiatric teaching hospital to recruit for the role of Clinical Nurse Manager 2, CAMHs.
This is an exciting opportunity for experienced psychiatric nurses to play an integral and active role in a committed Multidisciplinary Team to make a significant contribution in mental healthcare treatment services, providing generic and specialist in-patient assessment and treatment to patients referred from across the country. The Hospital holds a Certificate of Registration with the Mental Health Commission as an Approved Centre in compliance with the Mental Health Act 2001.
Reporting to CNM3, the Clinical Nurse Manager 2 CAMHs will play a pivotal role in the daily management of the unit. The primary objective is to provide leadership, motivation and ensure the effective use of resources in the provision of the highest standard of patient care; promotion and use of the Recovery Model and to facilitate the development of both Staff and Student Nurses while also assisting in the implementation of change within the hospital.
Detailed job description available on application
To be considered for this role the following criteria apply:
Must be registered or in the final stages of registering with the NMBI as a Registered Psychiatric Nurse.
CAMHS experience is highly desirable but not essential
All applicants must have at least 5 years experience in a CNM2/Ward manager role.
Management qualification desirable.
All interested applicants should:
Be dynamic and energetic individuals with experience of working at Clinical Nurse Management or as a Staff Nurse in mental health
Have an in-depth knowledge of the Mental Health Commission requirements, leadership and governance with evidence of continuing professional development.
For further details please contact Catherine Hoban on :
t: + 353 21 4626138 or e: catherine.hoban@cplhealthcare.com

EMAIL: catherine.hoban@cplhealthcare.com
Ref.no.:
JO-2401-528505
Locations:
Dublin
Salary:
€57000
Employment type:
Full Time;
Tags:
Psychiatric Nurse,RPN Roles Dublin

EMAIL: catherine.hoban@cplhealthcare.com
Ref.no.:
JO-2401-528505
Locations:
Dublin
Salary:
€57000
Employment type:
Full Time;
Tags:
Psychiatric Nurse,RPN Roles Dublin"
clinical nurse manager,job_a5899c9b54d6aaa7,https://ie.indeed.com/rc/clk?jk=a5899c9b54d6aaa7&bb=KDvhOqIgqZ5NSFT5QjrOO9YE0axjsEJ2YtCYVDA8YWWvAtWi7ZyFCmVmq1huzUPYVUFzClxnnXCB2WKk8p1N59MByiNQCbdHCuvg1iRYr14%3D&xkcb=SoDW67M3FTSZ_k07Kh0IbzkdCdPP&fccid=6d127541b7317795&vjs=3,Today,"Clinical Nurse Manager, Maynooth, Co. Kildare

Orpea Residences Ireland are looking for Clinical Nurse Managers to join our team to enhance and support an excellent quality of daily life for our residents.

Benefits of working:
Competitive Pay Rate depending on experience
Refer a Friend scheme up to EUR500 - EUR2500 bonus
Meals provided on duty
Employee Assistance Programme
Full Time Guaranteed Contracts
Free Parking
Career progression opportunities within Ireland
Uniform provided
Additional site specific benefits

Responsibilities & Requirements:
Making a positive difference and enhancing our client's daily lives.
Experience working as a Nurse including dementia care.
Supporting with all duties including Allocation/Roster/Care Plan/Client Family Member queries/Handling Report to Management.
Supporting Nurses and ADON's
Be kind, caring, empathetic and trustworthy with a genuine interest to help others.
Excellent interpersonal and communication skills.
Nursing Qualification & Valid NMBI Pin.
Must be able to provide 2 valid and contactable references
Good knowledge of HIQA requirements."
registered mental health nurse,job_f6d1e4f59b5ed024,https://ie.indeed.com/rc/clk?jk=f6d1e4f59b5ed024&bb=KDvhOqIgqZ5NSFT5QjrOO6LfGBfGgPX3nxnhPoTbJBW5VjvN93Wk3qyxUOqftxDm9s7CAmMu-wC7FpNHqKrZZaqqOKtqvGD_LqLj2y6dcXA%3D&xkcb=SoBY67M3FTSZ_k07Kh0PbzkdCdPP&fccid=2215fea824a6dfe3&cmp=Stepping-Stones-Care&ti=Registered+Mental+Health+Nurse&vjs=3,Today,"Lois Bridges are currently recruiting experienced and newly qualified Psychiatric Nurses for our specialized centre in Dublin 13.
Lois Bridges is a private, voluntary, 7-bed residential facility specializing in the treatment of eating disorders for adults.
Be part of our growing, award winning specialist team today.
Eligibility Criteria:-
Be Currently Registered with NMBI or Eligible to Register.
Must hold a Degree or Diploma in Psychiatric Nursing.
Have a Patient Cantered Approach to Nursing Care.
All New Graduates Welcome to Apply
Email: info@loisbridges.ie
Job Type: Full-time
Salary: €34,000.00-€55,000.00 per year
Benefits:
Food allowance
On-site parking
Schedule:
12 hour shift
Day shift
Night shift
Overtime
Weekend availability
Work Location: In person"
clinical nurse specialist hepatology cnm 2.,job_ea1d51e35f4dc0ec,https://ie.indeed.com/rc/clk?jk=ea1d51e35f4dc0ec&bb=KDvhOqIgqZ5NSFT5QjrOO_AHOJO57_UkhmNLdoP5g25WDgPeF5GmDo21YogdnacvLkZvWzdY4_Io4wcB3WbKWw4sfyw4-wbeTBQdiLdQ3HI%3D&xkcb=SoDs67M3FTSZ_k07Kh0ObzkdCdPP&fccid=c42523663ebb6429&vjs=3,Today,"Job Purpose:
The Hepatology Nurse Specialist will take a lead role in providing an education, management and support service for patients with liver disorders. Lead in the dissemination and implementation of evidenced based care in the writing of shared guidelines/protocols for patients with liver disease.
Have responsibility for the provision of specialist care to this patient cohort and will co-manage a case load of patients attending the Centre for Liver Disease.
Work as a key member of the multi-disciplinary team providing physical, psychological and emotional support to patients with liver disease and their families.
Ward based role – reviewing & advising on specific individualised care needs of Hepatology patients.
OPD role - provide expert assistance to the multidisciplinary liver team. Ensuring that appropriate treatment and care is optimal for individual patients
For more information please see attcahed job description."
"gp practice nurse in leixlip, co kildare",job_fb6ef7cc58c30904,https://ie.indeed.com/rc/clk?jk=fb6ef7cc58c30904&bb=KDvhOqIgqZ5NSFT5QjrOO7Sp6YZRf2sLchvFXf_DABLLvIo_s_LItNJ83gUPUX9obTzT9kLwjDJXpE3OfXYuBrnsnVWW3wsZTCqpFEJwVXI%3D&xkcb=SoBx67M3FTSZ_k07Kh0NbzkdCdPP&fccid=2a613126fa81c259&cmp=Kelly-Medical-Centre&ti=Practice+Nurse&vjs=3,Today,"Kelly Medical Centre in Leixlip is looking for a practice nurse for 2.5-3 days a week.
We are a dynamic, friendly practice and there is excellent GP and admin support on site.
Previous experience as a practice nurse is not essential and comprehensive on site training will be offered.
No weekend. Finished by 5 o clock.
General registration with An Bord Altranais is essential.
All applications treated in strictest confidence.
Please upload CV and cover letter if interested.
Job Type: Part-time
Salary: €26.00-€30.00 per hour
Expected hours: 18 – 24 per week
Work Location: In person"
clinical nurse manager 2 - ophthalmology services,job_f03f3ba398656c06,https://ie.indeed.com/rc/clk?jk=f03f3ba398656c06&bb=KDvhOqIgqZ5NSFT5QjrOO9YE0axjsEJ2t44dErYnKF7g7eVw8fmvpvlVN4xoizM2azF1BUCd7PrEqzbd_kq0HPRvcZhRy7gG_MM7yWcZdrI%3D&xkcb=SoDF67M3FTSZ_k07Kh0MbzkdCdPP&fccid=c42523663ebb6429&vjs=3,Today,"Job Purpose:
The CNM2 will provide a focused service using evidence based practice and will be responsible, accountable and show good professional judgement.
The CNM2 will be responsible for performance management and on-going staff development and training.
The CNM2 will co-ordinate and manage nursing resources for Inpatient, Outpatient and Daycase services within the Ophthalmology Department.
In conjunction with the Clinical Lead, Directorate Nurse Manager and Operations Manager, the CNM2 will be involved in the planning and provision of Ophthalmology Services.
Informal Enquiries: Fiona Hearty, Directorate Nurse Manager, fhearty@mater.ie
For more information about this role please see job description attached."
staff nurse - cathlab,job_51302467e004ecaa,https://ie.indeed.com/rc/clk?jk=51302467e004ecaa&bb=KDvhOqIgqZ5NSFT5QjrOO8U7WNAtutrMofJSPzgpY6hOxKRGBOUYDfhxhXXYcViQxQ87KsFVJaVhNKTRvLpYgGzKX_oKksb9s8ikvM49cVc%3D&xkcb=SoAs67M3FTSZ_k07Kh0DbzkdCdPP&fccid=9a7686246ce73e52&cmp=TTM-Healthcare&ti=Registered+Nurse&vjs=3,Today,"TTM Healthcare are recruiting a Staff Nurse – Cath Lab to join a new Cath Lab due to open in January 2024.
This is on behalf of an acute Hospital based in Dublin.
Full time and part time contracts are available.
Benefits include:
Introductory Payment / Relocation Allowance - €3500 to €5000
Support with work permits and relocation
Fully funded Post Graduate Courses
Competitive salary
Fully funded private Health Insurance
Wedding Leave
Maternity Leave after 6 month probation
Life Assurance and long-term illness income protection for all employees.
Subsidised Parking.
Cycle to work Scheme.
Tax saver bus and rail scheme
Excellent Pension Scheme (5% employee contribution)
Great Transport links with Luas, Buses, M50 and N11.
Staff discounts in restaurants, pharmacies and local businesses
Heavily discounted hospital services to staff and their immediate family members
Ongoing opportunities for career progression
Staff discounts in restaurants
Flexible working arrangements
Requirements:
NMBI Registered General Nurse licence in good standing.
BLS required.
ACLS desired
In lab experience required
Full job description available on request.
For more information call Christine on 015136740 or click APPLY with your most recent CV today!
Job Types: Full-time, Part-time, Permanent
Salary: €33,193.00-€50,865.00 per year
Benefits:
Employee discount
Free or subsidised travel
On-site parking
Private medical insurance
Relocation assistance
Ability to Commute:
Dublin, CO. Dublin (required)
Ability to Relocate:
Dublin, CO. Dublin: Relocate before starting work (required)
Work Location: In person"
recruitment coordinator - agency nursing - dublin,job_7dcfd7d35762aeef,https://ie.indeed.com/rc/clk?jk=7dcfd7d35762aeef&bb=KDvhOqIgqZ5NSFT5QjrOO6Pjipxxyn0tvPdCEgbqg8FfHNEEEssHyTETZP63ZqbWlj_F9YNKjqG5qYpEnyqhag3P-KQMyCboCqMkI7nXIFQ%3D&xkcb=SoCY67M3FTSZ_k07Kh0CbzkdCdPP&fccid=8369932b77da0cd3&vjs=3,Today,"Clarity is seeking an Agency Nurse Coordinator for their Dublin office (remote work available)
This is an excellent role for someone seeking to develop their career in recruitment: We are looking to hire an individual to support the Nursing Agency Desk across Clarity Locums.
You will actively source and meet new candidates and clients through various means, including advertising and networking. You’ll also maintain regular contact with existing candidates and clients, advertising and booking shifts, whilst consistently hitting sales targets and KPI’s. A full payroll, compliance and administrative team are currently in place as well as a well established to support this growing side of our business.

Duties and responsibilities:
Manage shift requests from clients
Manage shift applications
Onesignal - push notifications
Weekly reporting
Resourcing new talent for Nursing, Medical and other Healthcare areas
Engaging with potential candidates and building relationships
Candidate profile management
Attracting talent activities including webinar involvement, video creation, and more
Client attraction and retention
Business development
Event planning and involvement
Managing jobs boards
Data entry and administration
Analysing data and reports
Meeting individual targets and KPIs
GDPR compliance
Any other reasonable duties

In order to be a correct fit for this role you must be:
Driven & Motivated
Work well under pressure
Use initiative and be creative
Ability multitask
Have excellent attention to detail
Experience in sales and/or Nursing is an advantage

Intermediate to advanced proficiency in the use of the following platforms:
Google Drive
Intercom
One Signal
Active Campaign
Mail Chimp
Survey Monkey
Weekend working will be a requirement for this role
If you are interested in this position please feel free to contact Laura - laura@clarityrecruitment.ie Your application will be treated in the strictest confidence
Is this role not for you? Feel free to reach out today to discuss other nurse vacancies available."
